ot,lat,lon,dep,mag
2012-08-23T05:39:40.769167Z,32.5666,-115.7532,20,-3.67
2012-08-23T18:51:45.405023Z,32.5666,-115.7732,25,-3.36
2012-08-23T07:00:46.674967Z,33.4666,-115.8532,25,-4.29
2012-08-23T04:15:41.776769Z,32.5666,-115.7532,24,-4.34
2012-08-24T19:52:48.909762Z,33.3466,-115.8732,23,-3.19
2012-08-24T16:00:16.048413Z,33.1466,-115.9532,19,-3.47
2012-08-25T14:41:02.859309Z,33.3066,-116.2132,25,-3.84
2012-08-25T15:10:40.449563Z,32.5666,-115.7132,1,-3.95
2012-08-25T22:16:12.133413Z,32.9466,-115.8132,24,-3.92
2012-08-25T19:21:30.693039Z,32.5666,-115.9532,1,-4.09
2012-08-25T01:24:53.806508Z,32.5666,-115.4932,6,-3.96
2012-08-25T20:08:55.274173Z,32.6666,-115.5732,12,-4.97
2012-08-26T18:58:11.617030Z,32.9466,-115.5332,20,-2.71
2012-08-26T21:15:28.791633Z,33.0466,-115.5132,17,-1.62
2012-08-26T20:10:12.976111Z,32.9466,-115.5532,18,-3.12
2012-08-26T21:08:44.268413Z,32.9066,-115.5932,23,-2.16
2012-08-26T22:06:27.684887Z,33.0066,-115.5532,25,-2.43
2012-08-26T19:16:10.934841Z,33.0266,-115.5532,20,-1.82
2012-08-26T22:57:42.103929Z,33.0066,-115.5732,14,-3.25
2012-08-26T17:06:01.188674Z,33.0466,-115.4932,5,-3.29
2012-08-26T17:37:14.890595Z,32.9466,-115.5532,19,-2.84
2012-08-26T23:36:57.859444Z,33.0066,-115.5132,19,-2.66
2012-08-26T15:55:31.646945Z,32.9466,-115.5732,20,-3.28
2012-08-26T17:18:12.394230Z,32.9266,-115.5732,17,-2.95
2012-08-26T19:45:55.554332Z,32.9466,-115.6132,18,-2.66
2012-08-26T19:50:14.460460Z,33.0266,-115.5732,14,-2.42
2012-08-26T20:14:44.926452Z,32.9266,-115.5932,20,-2.50
2012-08-26T20:28:57.061293Z,32.9466,-115.5332,20,-3.04
2012-08-26T21:05:11.565261Z,33.0266,-115.5732,25,-2.43
2012-08-26T21:17:25.978532Z,32.9466,-115.5732,21,-1.87
2012-08-26T21:46:11.567381Z,32.9666,-115.5532,7,-2.71
2012-08-26T23:13:44.663730Z,32.9466,-115.5532,20,-3.02
2012-08-26T17:02:12.440380Z,32.9466,-115.5532,15,-1.94
2012-08-26T17:16:01.118492Z,32.9466,-115.5732,21,-2.15
2012-08-26T19:40:12.169411Z,32.9066,-115.5732,21,-1.67
2012-08-26T20:55:00.547189Z,33.0066,-115.5532,18,-3.44
2012-08-26T22:01:58.487268Z,33.0266,-115.5732,11,-2.70
2012-08-26T04:30:14.260102Z,32.9466,-115.5532,21,-3.78
2012-08-26T15:48:10.347189Z,32.9866,-115.5732,16,-3.20
2012-08-26T16:18:14.682721Z,32.9466,-115.5732,19,-2.93
2012-08-26T19:43:42.298713Z,32.9666,-115.6532,1,-2.89
2012-08-26T22:04:44.831707Z,32.9666,-115.5732,23,-3.43
2012-08-26T22:21:26.031191Z,33.0466,-115.5332,25,-3.39
2012-08-26T22:34:44.828833Z,32.9266,-115.5932,18,-2.42
2012-08-26T22:45:11.177936Z,32.9266,-115.5532,10,-3.63
2012-08-26T17:09:29.007110Z,32.9866,-115.5732,10,-3.91
2012-08-26T17:22:12.111905Z,32.9666,-115.6332,24,-3.31
2012-08-26T18:03:00.791627Z,33.0666,-115.5132,25,-3.31
2012-08-26T20:25:59.357936Z,32.9266,-115.5932,23,-3.35
2012-08-26T21:21:55.955000Z,32.9866,-115.5732,19,-3.25
2012-08-26T21:53:57.955919Z,32.9266,-115.5332,14,-3.12
2012-08-26T22:58:41.095952Z,32.9466,-115.5732,24,-1.76
2012-08-26T19:58:16.316928Z,32.9266,-115.5732,21,-2.11
2012-08-26T20:31:13.047364Z,33.0066,-115.5332,18,-2.78
2012-08-26T15:33:02.607937Z,32.9466,-115.5932,20,-2.79
2012-08-26T19:03:18.061270Z,32.9666,-115.5532,18,-2.23
2012-08-26T19:06:30.892183Z,32.9066,-115.5332,22,-3.21
2012-08-26T20:46:58.078532Z,32.9466,-115.5532,20,-3.29
2012-08-26T20:57:58.170999Z,32.9466,-115.5332,20,-0.86
2012-08-26T21:13:58.099467Z,32.9266,-115.5532,21,-3.28
2012-08-26T21:45:25.826951Z,32.8666,-115.6132,15,-3.33
2012-08-26T21:49:12.901746Z,33.0466,-115.4932,21,-3.23
2012-08-26T22:23:57.676333Z,32.9266,-115.5732,25,-2.73
2012-08-26T22:43:57.186872Z,32.8266,-115.5932,17,-3.63
2012-08-26T22:50:47.495952Z,32.8466,-115.5532,11,-3.69
2012-08-26T23:46:27.563634Z,33.0066,-115.5132,25,-3.36
2012-08-26T23:53:14.284094Z,32.9666,-115.5332,18,-2.56
2012-08-26T17:28:25.318413Z,32.9466,-115.5532,25,-3.56
2012-08-26T18:55:54.708651Z,32.9466,-115.5732,19,-3.22
2012-08-26T19:28:44.360317Z,32.8866,-115.5532,22,-2.00
2012-08-26T20:04:48.888856Z,33.0266,-115.4732,15,-2.89
2012-08-26T20:20:25.538889Z,33.0266,-115.6532,25,-2.99
2012-08-26T20:39:02.032959Z,32.9666,-115.5732,8,-3.30
2012-08-26T21:29:54.942761Z,32.9266,-115.5732,21,-3.69
2012-08-26T21:32:27.973532Z,32.8666,-115.5532,17,-3.53
2012-08-26T23:24:14.742427Z,32.9866,-115.5932,8,-3.60
2012-08-26T23:52:12.218611Z,32.8466,-115.5332,25,-3.79
2012-08-26T04:33:40.390476Z,32.8866,-115.5732,23,-3.66
2012-08-26T07:39:25.704332Z,32.5666,-115.7332,1,-4.00
2012-08-26T15:57:00.662268Z,32.9066,-115.5332,21,-3.66
2012-08-26T18:11:23.869586Z,32.9466,-115.5332,1,-3.48
2012-08-26T19:24:10.634127Z,33.0066,-115.5332,21,-3.50
2012-08-26T20:01:29.114649Z,32.9466,-115.5532,23,-3.19
2012-08-26T20:48:11.546191Z,32.9266,-115.5532,17,-3.57
2012-08-26T20:52:29.902619Z,32.9666,-115.5732,20,-3.24
2012-08-26T21:33:13.423714Z,32.9066,-115.6132,1,-3.78
2012-08-26T21:39:45.831111Z,32.9466,-115.5532,11,-3.43
2012-08-26T21:59:44.194808Z,33.0866,-115.5132,11,-3.22
2012-08-26T22:48:25.428928Z,32.9066,-115.5932,23,-3.77
2012-08-26T22:54:47.575397Z,32.8866,-115.5132,15,-2.77
2012-08-26T23:24:58.596032Z,32.9266,-115.7732,4,-4.12
2012-08-26T23:27:55.197189Z,32.8866,-115.5332,12,-3.68
2012-08-26T23:33:24.846395Z,32.9666,-115.5332,18,-1.86
2012-08-26T15:53:27.877563Z,32.9466,-115.5932,21,-4.04
2012-08-26T17:46:46.881253Z,32.9266,-115.5732,23,-3.48
2012-08-26T17:47:17.825397Z,32.9666,-115.5732,17,-3.06
2012-08-26T17:50:10.167381Z,33.2266,-115.6532,25,-3.73
2012-08-26T19:33:00.356134Z,32.9266,-115.5532,18,-0.94
2012-08-26T19:38:47.576111Z,32.9266,-115.5732,19,-2.93
2012-08-26T19:54:27.903810Z,32.9066,-115.6132,22,-3.13
2012-08-26T20:08:29.040476Z,32.9666,-115.5732,18,-3.28
2012-08-26T20:12:55.624967Z,32.9466,-115.5532,16,-3.74
2012-08-26T20:14:00.318968Z,32.9266,-115.5532,18,-3.37
2012-08-26T20:33:00.712047Z,32.9666,-115.5732,20,-3.26
2012-08-26T20:33:58.509206Z,33.1466,-115.7932,24,-2.79
2012-08-26T20:42:36.984094Z,32.9266,-115.5532,11,-3.60
2012-08-26T21:26:39.857500Z,32.9866,-115.5332,1,-2.40
2012-08-26T21:34:48.043968Z,32.9466,-115.5332,11,-2.71
2012-08-26T21:48:42.075397Z,32.7266,-115.4932,1,-3.89
2012-08-26T22:16:22.927103Z,32.8266,-115.4532,10,-3.30
2012-08-26T22:51:22.107506Z,32.9666,-115.6132,12,-3.42
2012-08-26T16:40:58.209207Z,32.8866,-115.6932,18,-3.90
2012-08-26T16:45:03.390476Z,32.8866,-115.5132,17,-4.02
2012-08-26T17:07:44.498373Z,33.0666,-115.5332,21,-3.83
2012-08-26T17:56:46.365437Z,32.9266,-115.6332,24,-3.14
2012-08-26T17:58:32.543095Z,32.9466,-115.6132,21,-3.21
2012-08-26T19:04:25.564649Z,33.0266,-115.5332,25,-3.26
2012-08-26T20:03:50.858515Z,32.9066,-115.5332,15,-3.32
2012-08-26T20:05:09.701270Z,33.5666,-115.5932,11,-2.51
2012-08-26T20:37:12.779841Z,33.0466,-115.6732,21,-3.26
2012-08-26T20:43:27.202381Z,32.8266,-115.5932,15,-3.86
2012-08-26T20:51:26.426429Z,32.9466,-115.4932,24,-3.82
2012-08-26T21:41:44.193158Z,32.8266,-115.5732,18,-3.69
2012-08-26T21:53:02.712268Z,32.9266,-115.6132,22,-3.10
2012-08-26T21:58:19.799570Z,32.9266,-115.5532,18,-3.34
2012-08-26T22:13:02.025516Z,32.7866,-115.5732,18,-2.74
2012-08-26T22:14:12.755919Z,32.9266,-115.5332,8,-3.82
2012-08-26T22:32:40.602682Z,33.3866,-115.3732,10,-3.41
2012-08-26T22:52:10.031713Z,32.8866,-115.6932,13,-2.79
2012-08-26T23:15:46.837302Z,32.7666,-115.5532,15,-3.80
2012-08-26T23:50:09.807064Z,32.8466,-115.5132,18,-3.27
2012-08-26T18:33:14.374173Z,33.0066,-115.5332,16,-3.87
2012-08-26T18:36:12.183237Z,33.0066,-115.5132,13,-3.90
2012-08-26T18:43:43.270205Z,32.9266,-115.6532,10,-4.12
2012-08-26T20:06:10.057682Z,32.9866,-115.5332,18,-2.87
2012-08-26T20:12:28.846452Z,32.7066,-115.5532,1,-3.81
2012-08-26T20:50:55.694365Z,32.9466,-115.5132,16,-4.19
2012-08-26T20:51:57.387665Z,32.7266,-115.6132,1,-3.31
2012-08-26T21:23:02.155919Z,33.5466,-115.8132,22,-2.27
2012-08-26T21:54:17.325142Z,32.9266,-115.4932,5,-2.54
2012-08-26T22:21:30.089682Z,32.6266,-115.6732,1,-3.26
2012-08-26T23:21:04.158413Z,32.9466,-115.5932,19,-2.88
2012-08-26T13:53:29.085284Z,32.9066,-115.7532,5,-4.09
2012-08-26T17:03:41.486872Z,32.9866,-115.6132,20,-2.78
2012-08-26T17:08:04.335556Z,32.9066,-115.5332,18,-3.22
2012-08-26T17:50:16.712817Z,32.8866,-115.4932,16,-3.68
2012-08-26T17:55:31.214649Z,32.9466,-115.5732,22,-3.46
2012-08-26T18:15:32.000000Z,32.8666,-115.5332,12,-4.18
2012-08-26T18:20:53.731214Z,32.9266,-115.5532,15,-3.55
2012-08-26T18:31:26.662268Z,33.0266,-115.6132,20,-4.03
2012-08-26T18:37:45.584365Z,32.8466,-115.5332,20,-3.41
2012-08-26T18:38:54.106270Z,32.9266,-115.5132,25,-3.96
2012-08-26T19:20:03.868492Z,32.9266,-115.5332,19,-0.94
2012-08-26T19:24:30.477348Z,33.0066,-115.4932,23,-2.80
2012-08-26T19:39:29.059887Z,32.8666,-115.6532,23,-2.75
2012-08-26T20:16:33.366236Z,33.5466,-116.0132,13,-2.25
2012-08-26T20:23:14.491174Z,32.9466,-115.5532,23,-3.39
2012-08-26T20:28:06.890380Z,33.4866,-115.7132,24,-3.02
2012-08-26T20:36:13.709887Z,32.9666,-115.6132,20,-3.35
2012-08-26T20:45:47.039252Z,32.9066,-115.5332,25,-3.06
2012-08-26T21:13:03.111587Z,32.9266,-115.6132,1,-3.19
2012-08-26T21:30:32.059887Z,32.9066,-115.7932,12,-3.94
2012-08-26T21:30:54.947404Z,32.9266,-115.6332,9,-3.59
2012-08-26T21:47:16.770635Z,32.9066,-115.5332,19,-2.88
2012-08-26T22:20:08.998413Z,32.9466,-115.5332,1,-4.11
2012-08-26T22:22:34.819762Z,32.9066,-115.5532,15,-2.87
2012-08-26T22:26:03.228753Z,32.9466,-115.5532,22,-3.37
2012-08-26T22:27:38.744808Z,32.8866,-115.5732,13,-3.66
2012-08-26T22:40:42.570318Z,32.5666,-115.8732,14,-2.92
2012-08-26T23:03:59.577897Z,32.6466,-115.4332,2,-3.38
2012-08-26T23:10:16.030159Z,33.0066,-115.6732,15,-3.31
2012-08-26T23:31:41.724564Z,32.5666,-115.6532,1,-3.88
2012-08-26T23:49:13.420079Z,32.8066,-115.4132,3,-3.92
2012-08-26T04:35:28.651746Z,32.6666,-115.6332,1,-3.55
2012-08-26T08:02:33.757936Z,32.8866,-115.4932,14,-4.12
2012-08-26T17:13:52.051372Z,32.9266,-115.6532,22,-2.99
2012-08-26T17:17:22.137047Z,32.9466,-115.5532,11,-3.35
2012-08-26T19:06:47.266570Z,32.8866,-115.6132,25,-2.77
2012-08-26T19:28:37.539603Z,33.1866,-115.5932,22,-2.68
2012-08-26T20:06:15.962301Z,32.8666,-115.8732,1,-3.91
2012-08-26T20:33:50.609881Z,33.4666,-115.5532,25,-2.57
2012-08-26T20:49:57.814428Z,33.1066,-115.5332,1,-3.85
2012-08-26T21:50:19.161071Z,32.9466,-115.5132,13,-3.56
2012-08-26T21:52:47.202245Z,32.8266,-115.0532,1,-3.92
2012-08-26T22:15:28.126951Z,32.9666,-115.5732,13,-3.74
2012-08-26T22:19:14.412936Z,32.7866,-115.5132,11,-3.69
2012-08-26T22:29:18.144682Z,33.0266,-115.5932,9,-3.49
2012-08-26T22:31:01.896627Z,33.0466,-115.4532,22,-3.52
2012-08-26T22:40:32.326849Z,33.5066,-115.2132,25,-3.35
2012-08-26T22:53:34.888674Z,32.9466,-115.5532,14,-2.32
2012-08-26T23:10:08.229048Z,33.3466,-115.1732,24,-2.79
2012-08-26T23:24:54.082540Z,32.5866,-115.5132,1,-3.23
2012-08-26T23:39:00.512483Z,32.9066,-115.5132,10,-3.68
2012-08-26T23:44:06.238016Z,33.0466,-115.8332,25,-3.79
2012-08-26T15:59:54.308697Z,32.9066,-115.5932,22,-4.03
2012-08-26T16:00:17.457857Z,32.9266,-115.5732,24,-3.50
2012-08-26T16:40:52.801951Z,33.0266,-115.5732,1,-3.97
2012-08-26T17:20:15.570556Z,32.8666,-115.4732,20,-3.45
2012-08-26T17:30:59.729729Z,32.8866,-115.5332,16,-4.31
2012-08-26T17:36:28.921111Z,32.8666,-115.4932,19,-3.99
2012-08-26T17:50:02.661627Z,33.4266,-115.8932,23,-3.52
2012-08-26T17:54:01.877404Z,32.8866,-115.6532,14,-3.86
2012-08-26T18:02:57.075397Z,32.6066,-115.1532,15,-3.38
2012-08-26T18:33:56.727579Z,32.8066,-115.5132,22,-3.73
2012-08-26T18:38:59.391984Z,32.7666,-115.5532,1,-3.89
2012-08-26T18:55:59.726429Z,32.6866,-115.5932,1,-3.26
2012-08-26T19:19:10.608912Z,32.5666,-115.6332,17,-3.47
2012-08-26T19:55:14.620556Z,32.8866,-115.5132,21,-3.43
2012-08-26T19:56:37.854445Z,33.3666,-115.7132,22,-2.90
2012-08-26T20:19:20.300952Z,32.9666,-115.5132,1,-3.91
2012-08-26T20:24:51.814286Z,32.9266,-115.5532,1,-3.72
2012-08-26T20:26:48.283492Z,32.9466,-115.6532,20,-3.22
2012-08-26T20:27:45.147189Z,32.9266,-115.5532,25,-3.41
2012-08-26T20:28:18.670357Z,32.9866,-115.5932,17,-3.19
2012-08-26T20:56:41.340476Z,33.0866,-115.5732,20,-3.81
2012-08-26T20:57:18.992427Z,32.9866,-115.5932,20,-3.26
2012-08-26T21:01:25.735397Z,33.0266,-115.6332,25,-1.59
2012-08-26T21:11:28.033333Z,32.7266,-115.5732,6,-3.66
2012-08-26T21:19:34.572523Z,32.8866,-115.5932,15,-3.21
2012-08-26T21:21:22.208413Z,32.9066,-115.5932,6,-3.24
2012-08-26T21:23:06.508730Z,33.4266,-115.5132,25,-2.72
2012-08-26T21:37:48.680397Z,32.9466,-115.5332,20,-3.03
2012-08-26T21:40:36.651951Z,32.8066,-115.6132,16,-3.14
2012-08-26T21:41:49.875476Z,32.9666,-115.5332,1,-3.35
2012-08-26T21:42:49.821587Z,32.9066,-115.5332,20,-2.86
2012-08-26T21:44:21.209428Z,32.7266,-115.6132,4,-3.36
2012-08-26T21:59:49.066667Z,32.7466,-115.7532,1,-3.94
2012-08-26T22:16:00.473254Z,32.7066,-115.5132,1,-3.63
2012-08-26T22:26:26.612381Z,33.0066,-115.6732,24,-2.79
2012-08-26T22:33:23.762268Z,33.0266,-115.4732,25,-3.82
2012-08-26T22:50:03.124961Z,32.8866,-115.5532,22,-3.49
2012-08-26T22:56:00.167721Z,32.8466,-115.5332,9,-4.22
2012-08-26T22:56:47.693095Z,32.7466,-115.5732,15,-3.74
2012-08-26T22:57:46.467824Z,32.8866,-115.8132,2,-4.23
2012-08-26T23:07:51.733333Z,32.8666,-115.5332,13,-3.93
2012-08-26T23:19:22.297619Z,32.7266,-115.5132,21,-3.86
2012-08-26T06:09:05.733929Z,32.5666,-115.6732,9,-4.21
2012-08-26T07:32:33.536349Z,32.8866,-115.4932,16,-4.34
2012-08-26T09:53:13.851587Z,32.5666,-115.0932,19,-3.79
2012-08-26T15:48:00.136865Z,33.4666,-116.2132,23,-1.59
2012-08-26T16:17:50.343333Z,33.4666,-116.0332,22,-2.74
2012-08-26T16:18:02.267602Z,32.7266,-115.1932,23,-4.00
2012-08-26T17:40:34.265555Z,33.4066,-115.0732,22,-3.63
2012-08-26T17:45:30.934666Z,32.7866,-115.5132,1,-4.61
2012-08-26T17:56:53.268118Z,32.7466,-115.9332,11,-3.93
2012-08-26T18:06:58.672523Z,32.8466,-115.5932,9,-3.84
2012-08-26T18:11:28.350363Z,32.6466,-115.6332,1,-2.79
2012-08-26T18:39:57.801548Z,32.8866,-115.5132,18,-4.19
2012-08-26T18:44:32.069008Z,32.8866,-115.4932,11,-4.02
2012-08-26T19:31:26.153538Z,32.9066,-115.7332,1,-1.13
2012-08-26T19:35:51.348379Z,32.9266,-115.6332,1,-2.97
2012-08-26T19:56:50.940046Z,32.9666,-115.6132,1,-4.09
2012-08-26T19:57:31.773770Z,32.9266,-115.5732,24,-2.95
2012-08-26T20:03:58.308373Z,32.7866,-115.4132,1,-3.01
2012-08-26T20:05:22.054388Z,32.9066,-115.4332,1,-3.77
2012-08-27T04:20:12.452778Z,32.9066,-115.5932,20,-2.99
2012-08-27T18:05:57.526729Z,32.9666,-115.5332,23,-2.56
2012-08-27T01:11:56.444808Z,32.9666,-115.6132,25,-3.18
2012-08-27T07:11:12.408356Z,32.9066,-115.5532,21,-3.96
2012-08-27T00:58:43.818175Z,32.9266,-115.5732,24,-2.31
2012-08-27T02:53:14.035754Z,32.8866,-115.6132,21,-2.43
2012-08-27T07:50:58.415341Z,32.9466,-115.5532,19,-3.19
2012-08-27T17:04:30.971792Z,32.9266,-115.5732,17,-3.06
2012-08-27T05:11:56.459444Z,33.0466,-115.5132,19,-3.24
2012-08-27T05:39:42.699070Z,32.8466,-115.5132,17,-3.16
2012-08-27T05:44:56.801786Z,32.9466,-115.5332,24,-3.39
2012-08-27T00:12:26.116587Z,33.0466,-115.5132,15,-2.73
2012-08-27T00:32:42.190476Z,32.8866,-115.5332,13,-3.61
2012-08-27T01:03:15.367721Z,32.9866,-115.5332,15,-3.30
2012-08-27T02:38:30.304904Z,33.0466,-115.5332,2,-3.43
2012-08-27T04:08:16.638753Z,32.8466,-115.5332,16,-3.23
2012-08-27T17:14:11.941633Z,32.9466,-115.6332,18,-2.97
